tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,recovery,direction,total_n
53,0.09877060669963644,0.13218583669745215,-0.16031363322736975,0.35785484662664263,23,-0.19350819427234772,0.1994750638146662,-0.5844793193490935,0.19746293080439803,EUR_USD,30,250,2,short,76
46,0.0672847300085688,0.14444947450900072,-0.21583624002907262,0.3504057000462102,20,-0.258037930655416,0.21165127307755568,-0.6728744258874252,0.15679856457659314,EUR_USD,30,250,3,short,66
38,0.07631556798155656,0.1601453119464426,-0.23756924343347094,0.39020037939658403,17,-0.36327832583173864,0.21943089845493588,-0.7933628868034129,0.06680623513993567,EUR_USD,30,250,4,short,55
653,0.10146705867315947,0.037561779925733785,0.02784597001872126,0.1750881473275977,280,-0.032511266700085854,0.05818450854597182,-0.14655290345019062,0.0815303700500189,EUR_USD,40,100,1,long,933
487,0.06240453536460711,0.0431972966944678,-0.022262166156549766,0.14707123688576398,209,-0.032286724137952735,0.06800339231797427,-0.1655733730811823,0.10099992480527682,EUR_USD,40,100,2,long,696
353,0.05639491383022986,0.051132846652052116,-0.04382546560779228,0.15661529326825202,152,-0.010640859283616582,0.08050021986260385,-0.16842129021432012,0.14713957164708696,EUR_USD,40,100,3,long,505
240,0.022795770591914892,0.06177477777596615,-0.09828279384897876,0.14387433503280855,104,0.06136655547666485,0.09682561645714029,-0.1284116527793301,0.2511447637326598,EUR_USD,40,100,4,long,344
311,0.017932629282684943,0.055313059973072225,-0.09048096826453661,0.1263462268299065,134,-0.048055163282101236,0.083406467091245,-0.21153183878094142,0.11542151221673894,EUR_USD,40,150,1,long,445
249,0.0400054483046854,0.06108798381451382,-0.07972699997176169,0.1597378965811325,108,-0.0831103786506328,0.09357360842249528,-0.2665146511587235,0.10029389385745795,EUR_USD,40,150,2,long,357
191,0.05227389994011759,0.06987278140649449,-0.08467675161661162,0.18922455149684678,82,-0.051762256512379055,0.1093312438963701,-0.2660514945492644,0.16252698152450631,EUR_USD,40,150,3,long,273
139,0.07202624597782838,0.08142461107851848,-0.08756599173606784,0.2316184836917246,60,-0.036173315764777204,0.12749215442553397,-0.28605793843882377,0.21371130690926937,EUR_USD,40,150,4,long,199
108,-0.05368949254694781,0.09394487006718565,-0.2378214378786317,0.13044245278473604,47,-0.01696220671446159,0.13915342824528568,-0.2897029260752215,0.25577851264629836,EUR_USD,40,200,1,long,155
92,-0.0020350089745586127,0.10068688259321153,-0.1993812988572532,0.195311280908136,40,0.010199730508804156,0.15456495919444355,-0.2927475895123052,0.31314705052991354,EUR_USD,40,200,2,long,132
81,0.009713897117042108,0.10739004812444194,-0.2007705972068641,0.2201983914409483,35,-0.061920776783557015,0.16876657974275897,-0.3927032730793646,0.2688617195122506,EUR_USD,40,200,3,long,116
62,0.029431054952006135,0.12263285670777119,-0.2109293441952254,0.26979145409923766,28,-0.22037139092452257,0.17913214560738377,-0.5714703963149947,0.1307276144659496,EUR_USD,40,200,4,long,90
37,0.05697254077947902,0.15840540328152072,-0.2535020496523016,0.3674471312112596,16,-0.13901446155102676,0.24233554345924804,-0.6139921267311529,0.33596320362909937,EUR_USD,40,250,1,long,53
34,0.14904098353719372,0.16399992233685778,-0.17239886424304754,0.470480831317435,15,-0.2621677383858875,0.2485536756658546,-0.7493329426909625,0.22499746591918746,EUR_USD,40,250,2,long,49
30,0.02784979786395964,0.1759522711689678,-0.31701665362721726,0.37271624935513653,14,0.0,0.2773500981126146,-0.5436061923007246,0.5436061923007246,EUR_USD,40,250,3,long,44
25,0.17677356184200188,0.19374491040333344,-0.20296646254853168,0.5565135862325354,12,-0.06606187910555526,0.28855157603725423,-0.6316229681385735,0.499499209927463,EUR_USD,40,250,4,long,37
620,0.11949412443355584,0.03855952597386196,0.04391745352478639,0.1950707953423253,266,0.10632188934115636,0.059097131319730406,-0.00950848804551524,0.22215226672782795,EUR_USD,40,100,1,short,886
461,0.08787957383373851,0.04517762899727877,-0.0006685790009278714,0.1764277266684049,198,0.08968085339019993,0.06795061102877939,-0.04350234422620766,0.22286405100660753,EUR_USD,40,100,2,short,659
329,0.06124532692018293,0.05359740608859134,-0.0438055890134561,0.16629624285382197,141,0.042710967489998176,0.08092287647039817,-0.11589787039198224,0.20131980537197858,EUR_USD,40,100,3,short,470
228,0.08138083725180953,0.06426579396061115,-0.044580118910988314,0.20734179341460737,99,-0.11108082034184298,0.09611178769897284,-0.29945992423182977,0.07729828354814379,EUR_USD,40,100,4,short,327
325,0.1330340194597811,0.053360575508409794,0.028447291463297913,0.2376207474562643,140,0.0680279020440925,0.08163062334746791,-0.09196811971694462,0.2280239238051296,EUR_USD,40,150,1,short,465
