cell,direction,level,pair_or_POOLED,regime_bucket,regime,half,n,mean_R,NW_SE,NW_CI_low
cci,short,pair,NZD_USD,ATR_high_67_100,high,h2,209,-0.04161747976240627,0.05125338448846217,-0.14207411335979211
cci,short,pair,NZD_USD,ATR_low_0_33,low,h2,194,0.12371134020618557,0.10011601412487751,-0.07251604747857435
cci,short,pair,NZD_USD,ATR_mid_33_67,mid,h2,164,0.0975609756097561,0.05725784229593059,-0.014664395290267848
cci,short,pair,USD_CAD,ATR_high_67_100,high,full,376,-0.0008532857423316468,0.08629867222742056,-0.16999868330807594
cci,short,pair,USD_CAD,ATR_low_0_33,low,full,433,-0.034821678182231114,0.056274724114436785,-0.14512013744652721
cci,short,pair,USD_CAD,ATR_mid_33_67,mid,full,367,-0.014427548359764928,0.04463960248626317,-0.10192116923284074
cci,short,pair,USD_CAD,ATR_high_67_100,high,h1,185,0.0807985344968888,0.138400372257345,-0.1904661951275074
cci,short,pair,USD_CAD,ATR_low_0_33,low,h1,220,0.08197451870100389,0.06948353641545518,-0.05421321267328827
cci,short,pair,USD_CAD,ATR_mid_33_67,mid,h1,177,0.05537542968955927,0.03624212776088426,-0.015659140721773872
cci,short,pair,USD_CAD,ATR_high_67_100,high,h2,191,-0.07994012733529388,0.0829361184307349,-0.24249491945953427
cci,short,pair,USD_CAD,ATR_low_0_33,low,h2,213,-0.15545624773299027,0.11272211805817552,-0.37639159912701425
cci,short,pair,USD_CAD,ATR_mid_33_67,mid,h2,190,-0.07945453317413535,0.05657178624761564,-0.19033523421946202
cci,short,pair,USD_JPY,ATR_high_67_100,high,full,329,-0.11271278075527949,0.04746406837808656,-0.20574235477632913
cci,short,pair,USD_JPY,ATR_low_0_33,low,full,518,-0.08188171020192504,0.065615216171438,-0.21048753389794356
cci,short,pair,USD_JPY,ATR_mid_33_67,mid,full,348,-0.04855535283067106,0.05642464342767354,-0.1591476539489112
cci,short,pair,USD_JPY,ATR_high_67_100,high,h1,165,-0.11511271921696135,0.08117308887111459,-0.27421197340434594
cci,short,pair,USD_JPY,ATR_low_0_33,low,h1,227,0.004926276383294659,0.07987140391961589,-0.1516216752991525
cci,short,pair,USD_JPY,ATR_mid_33_67,mid,h1,172,0.030966494206209696,0.060198812781587216,-0.08702317884570124
cci,short,pair,USD_JPY,ATR_high_67_100,high,h2,164,-0.11029820852248978,0.044533241055757504,-0.19758336099177448
cci,short,pair,USD_JPY,ATR_low_0_33,low,h2,291,-0.14959790592304145,0.0905195419847458,-0.3270162082131432
cci,short,pair,USD_JPY,ATR_mid_33_67,mid,h2,176,-0.12626988516216817,0.052711540008129394,-0.22958450357810178
