tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
32,0.087062740161653,0.176214779275472,-0.25831822721827213,0.4324437075415781,14,0.0,0.2773500981126146,-0.5436061923007246,0.5436061923007246,AUD_USD,55,3,short,46
196,-0.030612244897959183,0.0715779256354097,-0.1709049791433622,0.10968048934744382,85,-0.09744420877641771,0.10799473815371785,-0.3091138955577047,0.11422547800486926,AUD_USD,100,1,long,281
198,-0.0726258454660167,0.07009027535781899,-0.21000278516734194,0.06475109423530852,86,-0.1748397692663097,0.10615296414661705,-0.3828995789936791,0.033220040461059724,AUD_USD,100,1,short,284
67,0.07462686567164178,0.12274825376280751,-0.16595971170346094,0.3152134430467445,30,-0.04843258358602194,0.1829980753864923,-0.4071088113435468,0.31024364417150296,AUD_USD,100,2,long,97
65,0.1076923076923077,0.12427303401079624,-0.13588283896885295,0.35126745435346834,29,-0.2413793103448276,0.18339419181267277,-0.6008319262976662,0.11807330560801102,AUD_USD,100,2,short,94
25,0.1671684120663926,0.19720329773443201,-0.21935005149309417,0.5536868756258794,11,0.13387184920471915,0.3027303413936745,-0.4594796199268828,0.7272233183363211,AUD_USD,100,3,long,36
22,0.09090909090909091,0.21731429260625335,-0.33502692259916567,0.5168451044173474,10,0.0,0.3333333333333333,-0.6533333333333333,0.6533333333333333,AUD_USD,100,3,short,32
646,-0.019665743259050992,0.03794641657336398,-0.09404071974284438,0.0547092332247424,277,0.021385443708953955,0.05394849421366967,-0.0843536049498386,0.1271244923677465,USD_CAD,10,1,long,923
634,-0.083048112930666,0.038017406391873246,-0.15756222945873755,-0.008533996402594432,273,-0.15388409308930895,0.055194806865474046,-0.2620659145456381,-0.045702271632979824,USD_CAD,10,1,short,907
226,0.07165434195065792,0.06398674969685102,-0.05375968745517007,0.19706837135648592,97,-0.05276857176137599,0.09011903558233691,-0.22940188150275637,0.12386473798000437,USD_CAD,10,2,long,323
220,0.008489806160886126,0.06441077245412109,-0.11775530784919122,0.13473492017096347,95,-0.16377267956668265,0.09219018582516979,-0.34446544378401545,0.01692008465065012,USD_CAD,10,2,short,315
76,0.14665112284236415,0.11184932657604703,-0.07257355724668801,0.3658758029314163,33,-0.0933763663293099,0.1568084057926328,-0.4007208416828702,0.2139681090242504,USD_CAD,10,3,long,109
73,0.0859635877303341,0.10971552886313066,-0.12907884884140197,0.3010060243020702,32,-0.12004137593642122,0.16159641958460327,-0.43677035832224365,0.1966876064494012,USD_CAD,10,3,short,105
455,-0.017482455010056994,0.045096104734377064,-0.10587082028943604,0.07090591026932205,196,0.03498710170396614,0.06417147258469973,-0.09078898456204533,0.16076318796997763,USD_CAD,20,1,long,651
457,-0.0911070449906296,0.04498813194237165,-0.17928378359767805,-0.0029303063835811743,196,-0.15536558299961506,0.06600799656611409,-0.28474125626919866,-0.025989909730031457,USD_CAD,20,1,short,653
155,0.0036219143969025177,0.07782878578205804,-0.14892250573593124,0.15616633452973627,67,-0.054680771661087105,0.11091154334086885,-0.27206739660919005,0.1627058532870158,USD_CAD,20,2,long,222
150,-0.0371648544599481,0.07823520018887847,-0.1905058468301499,0.11617613791025369,65,-0.1363533980182823,0.11569488501231105,-0.363115372642412,0.09040857660584736,USD_CAD,20,2,short,215
54,0.09765773961622089,0.13296934555864998,-0.16296217767873306,0.3582776569111748,24,-0.1621169234590193,0.18797049232264973,-0.5305390884114127,0.20630524149337415,USD_CAD,20,3,long,78
52,0.1065419214741714,0.13174029112062094,-0.1516690491222456,0.3647528920705884,23,-0.10224303021406868,0.20359111247834105,-0.5012816106716171,0.2967955502434798,USD_CAD,20,3,short,75
