tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
6,-0.3333333333333333,0.421637021355784,-1.15974189519067,0.4930752285240034,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,NZD_USD,100,3,long,9
7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,NZD_USD,100,3,short,11
91,0.03296703296703297,0.1053519590461395,-0.17352280676340046,0.23945687269746638,39,0.02564102564102564,0.16216808513683997,-0.29220842122718066,0.343490472509232,USD_SEK,10,1,long,130
87,0.08915157453354004,0.10681656833494524,-0.12020889940295261,0.2985120484700327,38,0.2631578947368421,0.15860437968439667,-0.047706689444575345,0.5740224789182595,USD_SEK,10,1,short,125
52,0.16238421851043958,0.1372235874622988,-0.10657401291566607,0.43134244993654525,23,-0.07440537801941538,0.20830580630100942,-0.48268475836939384,0.3338740023305631,USD_SEK,10,2,long,75
43,0.023255813953488632,0.15426161815606512,-0.279096957632399,0.32560858553937627,19,-0.05263157894736842,0.2353755765789252,-0.5139677090420618,0.40870455114732496,USD_SEK,10,2,short,62
5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,USD_SEK,10,3,long,8
13,0.23076923076923078,0.2808833628231621,-0.319762160364167,0.7813006219026286,6,0.6666666666666666,0.33333333333333337,0.013333333333333197,1.32,USD_SEK,10,3,short,19
61,0.11475409836065574,0.12824660469251112,-0.13660924683666603,0.36611744355797754,27,0.037037037037037035,0.19598157859737708,-0.347086857013822,0.4211609310878961,USD_SEK,20,1,long,88
64,0.12500000000000033,0.12500000000000003,-0.11999999999999972,0.3700000000000004,28,0.14285714285714285,0.1904761904761905,-0.2304761904761905,0.5161904761904762,USD_SEK,20,1,short,92
