tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,confirm,direction,total_n
151,63,88,0,0.41721854304635764,0.3385679029953418,0.4958691830973735,66,24,42,0,0.36363636363636365,0.24757960575757254,0.47969312151515475,NZD_USD,H4,20,2,long,217
48,21,27,0,0.4375,0.2971586193419774,0.5778413806580226,21,9,12,0,0.42857142857142855,0.21691132368626131,0.6402315334565958,NZD_USD,H4,20,3,long,69
479,240,238,1,0.502092050209205,0.4572682859052292,0.5469158145131808,206,105,100,1,0.5121951219512195,0.44376931475979164,0.5806209291426474,NZD_USD,H4,20,1,short,685
170,78,90,2,0.4642857142857143,0.38887019864072253,0.5397012299307061,73,35,38,0,0.4794520547945205,0.36484862856667355,0.5940554810223675,NZD_USD,H4,20,2,short,243
60,28,32,0,0.4666666666666667,0.3404306736776387,0.5929026596556947,26,11,15,0,0.4230769230769231,0.23317121377589872,0.6129826323779475,NZD_USD,H4,20,3,short,86
263,128,135,0,0.4866920152091255,0.42628403462209,0.5470999957961609,113,45,68,0,0.39823008849557523,0.3079693007723211,0.48849087621882936,NZD_USD,H4,55,1,long,376
89,41,48,0,0.4606741573033708,0.3571161682586195,0.5642321463481221,39,14,25,0,0.358974358974359,0.20842005237821218,0.5095286655705058,NZD_USD,H4,55,2,long,128
31,14,17,0,0.45161290322580644,0.2764258493563991,0.6267999570952139,14,7,7,0,0.5,0.2380839829258241,0.7619160170741759,NZD_USD,H4,55,3,long,45
278,142,136,0,0.5107913669064749,0.4520285638670688,0.5695541699458809,120,57,63,0,0.475,0.3856505456088287,0.5643494543911712,NZD_USD,H4,55,1,short,398
105,52,52,1,0.5,0.40390309378228983,0.5960969062177102,45,20,25,0,0.4444444444444444,0.2992592592592592,0.5896296296296296,NZD_USD,H4,55,2,short,150
35,17,18,0,0.4857142857142857,0.3201316779319464,0.651296893496625,16,8,8,0,0.5,0.255,0.745,NZD_USD,H4,55,3,short,51
193,100,93,0,0.5181347150259067,0.4476391846815262,0.5886302453702872,83,31,52,0,0.37349397590361444,0.26942495910932984,0.47756299269789904,NZD_USD,H4,100,1,long,276
67,33,34,0,0.4925373134328358,0.3728245941993393,0.6122500326663323,30,11,19,0,0.36666666666666664,0.19422296678282158,0.5391103665505117,NZD_USD,H4,100,2,long,97
23,11,12,0,0.4782608695652174,0.2741099770483661,0.6824117620820687,10,5,5,0,0.5,0.19009678930349883,0.8099032106965012,NZD_USD,H4,100,3,long,33
206,102,104,0,0.49514563106796117,0.42686901375789466,0.5634222483780277,89,42,47,0,0.47191011235955055,0.36819438066579907,0.575625844053302,NZD_USD,H4,100,1,short,295
79,39,40,0,0.4936708860759494,0.38342110554832587,0.6039206666035729,35,16,19,0,0.45714285714285713,0.2921022560775435,0.6221834582081708,NZD_USD,H4,100,2,short,114
28,14,14,0,0.5,0.31479740822547864,0.6852025917745214,12,6,6,0,0.5,0.21709836809708338,0.7829016319029166,NZD_USD,H4,100,3,short,40
620,300,314,6,0.48859934853420195,0.4490600494716148,0.5281386475967891,267,127,139,1,0.4774436090225564,0.41741712898353117,0.5374700890615816,USD_SEK,H4,10,1,long,887
