tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,tr_edge,tr_edge_ci_low,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,te_edge,te_edge_ci_low,pair,tf,period,confirm,stop_pct,tp_pct,rr_label,be_wr,direction,total_n
243,126,112,5,0.5294117647058824,0.4659977980879308,0.5928257313238339,0.02941176470588236,-0.03400220191206921,105,48,49,8,0.4948453608247423,0.39534672448138475,0.5943439971680998,-0.005154639175257714,-0.10465327551861525,GBP_USD,H4,55,1,0.01,0.01,1/1,0.5,short,348
243,57,143,43,0.285,0.222437150000979,0.347562849999021,-0.048333333333333395,-0.11089618333235438,105,16,57,32,0.2191780821917808,0.1242774292848175,0.3140787350987441,-0.11415525114155256,-0.20905590404851587,GBP_USD,H4,55,1,0.01,0.02,1/2,0.33333333333333337,short,348
86,43,42,1,0.5058823529411764,0.3995937849839204,0.6121709208984325,0.00588235294117645,-0.1004062150160796,37,15,21,1,0.4166666666666667,0.2556178281267327,0.5777155052066006,-0.08333333333333331,-0.24438217187326727,GBP_USD,H4,55,2,0.01,0.01,1/1,0.5,short,123
86,22,51,13,0.3013698630136986,0.19610868897735592,0.40663103705004133,-0.03196347031963476,-0.13722464435597745,37,6,24,7,0.2,0.056861838305316575,0.3431381616946835,-0.13333333333333336,-0.2764714950280168,GBP_USD,H4,55,2,0.01,0.02,1/2,0.33333333333333337,short,123
21,10,11,0,0.47619047619047616,0.26257954568917985,0.6898014066917725,-0.023809523809523836,-0.23742045431082015,9,6,3,0,0.6666666666666666,0.3586823797498592,0.974650953583474,0.16666666666666663,-0.14131762025014077,GBP_USD,H4,55,3,0.01,0.01,1/1,0.5,short,30
21,4,12,5,0.25,0.03782377607281254,0.4621762239271875,-0.08333333333333337,-0.29550955726052086,9,4,4,1,0.5,0.15351767721859172,0.8464823227814082,0.16666666666666663,-0.17981565611474165,GBP_USD,H4,55,3,0.01,0.02,1/2,0.33333333333333337,short,30
195,87,106,2,0.45077720207253885,0.380577920620702,0.5209764835243756,-0.04922279792746115,-0.119422079379298,84,43,31,10,0.581081081081081,0.46866626184485183,0.6934959003173102,0.08108108108108103,-0.03133373815514817,GBP_USD,H4,100,1,0.01,0.01,1/1,0.5,long,279
195,41,132,22,0.23699421965317918,0.17362683096378168,0.3003616083425767,-0.09633911368015419,-0.1597065023695517,84,13,38,33,0.2549019607843137,0.1352928444991212,0.3745110770695062,-0.07843137254901966,-0.19804048883421216,GBP_USD,H4,100,1,0.01,0.02,1/2,0.33333333333333337,long,279
67,31,35,1,0.4696969696969697,0.3492890544253833,0.5901048849685562,-0.030303030303030276,-0.15071094557461667,30,15,9,6,0.625,0.43131049331468674,0.8186895066853133,0.125,-0.06868950668531326,GBP_USD,H4,100,2,0.01,0.01,1/1,0.5,long,97
67,16,44,7,0.26666666666666666,0.15477041842585043,0.3785629149074829,-0.06666666666666671,-0.17856291490748294,30,4,11,15,0.26666666666666666,0.0428741701850342,0.4904591631482991,-0.06666666666666671,-0.29045916314829917,GBP_USD,H4,100,2,0.01,0.02,1/2,0.33333333333333337,long,97
