tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
468,0.11301648253656842,0.044174271022455684,0.02643491133255528,0.19959805374058154,201,0.04763609791936633,0.07015760108681235,-0.08987280021078589,0.18514499604951853,USD_CHF,14,1.5,range_expansion,short,669
1103,-0.13240014630965805,0.028926252843731477,-0.18909560188337174,-0.07570469073594435,473,-0.001489208231964408,0.044986121611847035,-0.0896620065911846,0.08668359012725578,USD_CHF,20,0.5,close_breakout,long,1576
1068,0.051588920350437745,0.02945162462977404,-0.0061362639239193745,0.10931410462479486,458,0.007103399884422793,0.04589521882423434,-0.08285122901107651,0.0970580287799221,USD_CHF,20,0.5,close_breakout,short,1526
1806,-0.06991925884437108,0.022765098253021674,-0.11453885142029357,-0.025299666268448602,775,-0.06797739207906088,0.03515607600631436,-0.13688330105143703,0.0009285168933152593,USD_CHF,20,0.5,range_expansion,long,2581
1754,0.034286147368574466,0.02309936706682366,-0.010988612082399908,0.07956090681954883,752,0.010763463036116706,0.03590073098025689,-0.05960196968518679,0.0811288957574202,USD_CHF,20,0.5,range_expansion,short,2506
450,-0.10611742023146435,0.04553212801864522,-0.195360391148009,-0.016874449314919715,194,-0.1516384107174729,0.06919250563672259,-0.28725572176544917,-0.016021099669496608,USD_CHF,20,1.0,close_breakout,long,644
433,0.11775186709207436,0.0458908927466006,0.027805717308737182,0.20769801687541153,186,0.062365022652207364,0.07264690603541704,-0.08002291317721003,0.20475295848162475,USD_CHF,20,1.0,close_breakout,short,619
1057,-0.08883592248471486,0.029705984679190774,-0.14705965245592878,-0.030612192513500947,454,-0.0464539302239508,0.045821172861788016,-0.1362634290330553,0.04335556858515371,USD_CHF,20,1.0,range_expansion,long,1511
1036,0.03988333140274958,0.030124112491885544,-0.01915992908134609,0.09892659188684524,445,-0.002614590552658601,0.04683179816335075,-0.09440491495282607,0.08917573384750888,USD_CHF,20,1.0,range_expansion,short,1481
157,-0.1171525746371886,0.07760701722748878,-0.26926232840306663,0.03495717912868941,68,-0.0794948525251435,0.11710389491164924,-0.309018486551976,0.15002878150168902,USD_CHF,20,1.5,close_breakout,long,225
176,0.1351767043548978,0.07268645648496902,-0.007288750355641499,0.2776421590654371,76,0.2882324458742947,0.10914397952766056,0.07431024600008002,0.5021546457485093,USD_CHF,20,1.5,close_breakout,short,252
454,-0.10127140981674504,0.045692722013151665,-0.1908291449625223,-0.011713674670967775,196,-0.12198565902102983,0.06905283687932844,-0.2573292193045136,0.013357901262453911,USD_CHF,20,1.5,range_expansion,long,650
468,0.11301648253656842,0.044174271022455684,0.02643491133255528,0.19959805374058154,201,0.04763609791936633,0.07015760108681235,-0.08987280021078589,0.18514499604951853,USD_CHF,20,1.5,range_expansion,short,669
1229,0.028478437754271765,0.028524933070276304,-0.02743043106346979,0.08438730657201332,528,-0.06060606060606061,0.04348060933208723,-0.14582805489695158,0.024615933684830366,NZD_USD,14,0.5,close_breakout,long,1757
1237,0.02021018593371059,0.028438196605992297,-0.035528679414034314,0.07594905128145549,531,0.020529420540250642,0.043420378970124136,-0.06457452224119266,0.10563336332169394,NZD_USD,14,0.5,close_breakout,short,1768
1864,0.030903288864464636,0.023153250881355808,-0.014477082862992745,0.07628366059192201,799,-0.028785982478097622,0.035384946589316554,-0.09814047779315807,0.04056851283696283,NZD_USD,14,0.5,range_expansion,long,2663
1872,0.011752136752136752,0.0231170873157858,-0.03355735438680342,0.057061627891076924,803,0.026977301719193113,0.035278876791394645,-0.04216929679194038,0.09612390023032662,NZD_USD,14,0.5,range_expansion,short,2675
