tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
24,-0.07508240616673731,0.19579138079626449,-0.45883351252741567,0.3086687001939411,11,-0.12790010122167636,0.30409064878185876,-0.7239177728341195,0.46811757039076674,USD_CHF,55,2,long,35,116,47
27,0.1287744663809758,0.19180461487711123,-0.2471625787781622,0.5047115115401138,12,-0.0924902719327562,0.2874841356189993,-0.6559591777459949,0.4709786338804825,USD_CHF,55,2,short,39,136,69
7,-0.018978597198937384,0.3559153850387243,-0.7165727518748369,0.6786155574769622,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,USD_CHF,55,3,long,10,36,17
9,0.14686284532335206,0.3388273001714317,-0.5172386630126541,0.8109643536593582,5,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,USD_CHF,55,3,short,14,39,24
62,-0.2583684163586323,0.11851089385906928,-0.49064976832240803,-0.026087064394856502,28,-0.08374624563910706,0.18318779531956442,-0.4427943244654533,0.2753018331872392,USD_CHF,100,1,long,90,274,122
68,0.003727207044970472,0.11873943761562174,-0.22900209068164812,0.23645650477158908,30,-0.042277741848863855,0.1826320337238909,-0.40023652794769,0.3156810442499623,USD_CHF,100,1,short,98,275,133
20,0.019928717983972964,0.2155088896871021,-0.4024687058027472,0.44232614177069307,9,0.06589987628461778,0.33978508620220377,-0.6000788926717016,0.7318786452409372,USD_CHF,100,2,long,29,79,39
23,0.13043478260869565,0.21137931948017294,-0.2838686835724433,0.5447382487898346,10,-0.11098832631930744,0.31426970451328984,-0.7269569471653555,0.5049802945267406,USD_CHF,100,2,short,33,100,55
6,0.172523654560128,0.38523065315509786,-0.5825284256238639,0.9275757347441198,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,USD_CHF,100,3,long,9,29,16
7,0.14285714285714285,0.40406101782088427,-0.6491024520717903,0.9348167377860761,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,USD_CHF,100,3,short,10,28,18
101,-0.009900990099009901,0.09999509839962452,-0.20589138296227397,0.18608940276425415,44,-0.2727272727272727,0.14671756087016888,-0.5602936920328037,0.0148391465782583,NZD_USD,10,1,long,145,913,205
120,0.016666666666666666,0.0916571168949671,-0.16298128244746884,0.19631461578080217,52,-0.15384615384615385,0.13836094888163492,-0.42503361365415826,0.11734130596185055,NZD_USD,10,1,short,172,962,243
40,0.05,0.15992786835609066,-0.2634586219779377,0.36345862197793766,18,-0.2222222222222222,0.23647127470752347,-0.6857059206489682,0.24126147620452376,NZD_USD,10,2,long,58,323,84
37,0.13513513513513514,0.16513786288129156,-0.18853507611219633,0.4588053463824666,16,-0.5,0.22360679774997896,-0.9382693235899587,-0.06173067641004126,NZD_USD,10,2,short,53,333,88
10,-0.2,0.3265986323710904,-0.840133319447337,0.4401333194473371,5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,NZD_USD,10,3,long,15,103,34
17,0.058823529411764705,0.2495670992423109,-0.43032798510316467,0.547975043926694,8,-0.25,0.3659625273556999,-0.9672865536171718,0.46728655361717175,NZD_USD,10,3,short,25,114,37
74,-0.02702702702702703,0.11699839243773737,-0.25634387620499227,0.20228982215093821,32,-0.0625,0.17925416718060672,-0.4138381676739892,0.2888381676739892,NZD_USD,20,1,long,106,647,148
94,0.0,0.10369516947304251,-0.20324253216716331,0.20324253216716331,41,-0.07317073170731707,0.1576900475633621,-0.3822432249315068,0.23590176151687264,NZD_USD,20,1,short,135,688,184
32,0.0,0.17960530202677488,-0.35202639197247876,0.35202639197247876,15,-0.2,0.26186146828319085,-0.7132484778350541,0.313248477835054,NZD_USD,20,2,long,47,218,67
27,0.1111111111111111,0.19490178206822872,-0.2708963817426172,0.4931186039648394,12,-0.3333333333333333,0.2842676218074806,-0.8904978720759953,0.22383120540932872,NZD_USD,20,2,short,39,243,71
9,-0.3333333333333333,0.3333333333333333,-0.9866666666666666,0.32,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,NZD_USD,20,3,long,13,69,31
15,0.06666666666666667,0.2666666666666666,-0.45599999999999985,0.5893333333333332,7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,NZD_USD,20,3,short,22,86,30
62,-0.03225806451612903,0.12797024611108765,-0.28307974689386084,0.21856361786160275,27,0.037037037037037035,0.19598157859737708,-0.347086857013822,0.4211609310878961,NZD_USD,55,1,long,89,377,130
79,-0.0379746835443038,0.11314603244965703,-0.2597409071456316,0.18379154005702397,34,-0.17647058823529413,0.17134566617751038,-0.5123080939432144,0.15936691747262619,NZD_USD,55,1,short,113,399,155
27,0.037037037037037035,0.19598157859737708,-0.347086857013822,0.4211609310878961,12,-0.3333333333333333,0.2842676218074806,-0.8904978720759953,0.22383120540932872,NZD_USD,55,2,long,39,129,57
24,0.0,0.2085144140570748,-0.4086882515518666,0.4086882515518666,11,-0.2727272727272727,0.30424000964875475,-0.869037691638832,0.32358314618428663,NZD_USD,55,2,short,35,150,60
8,-0.25,0.3659625273556999,-0.9672865536171718,0.46728655361717175,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,NZD_USD,55,3,long,12,45,25
13,0.07692307692307693,0.2878197989826109,-0.48720372908284043,0.6410498829289943,6,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,NZD_USD,55,3,short,19,51,24
58,0.0,0.13245323570650439,-0.2596083419847486,0.2596083419847486,25,-0.04,0.20396078054371142,-0.43976312986567434,0.3597631298656744,NZD_USD,100,1,long,83,277,118
