instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high
XAG_USD,trend,supertrend10x3,H4,market,1,8324,-0.28972356110407943,0,0.013344449821825198,-0.3158786827548568,-0.26356843945330205
XAG_USD,trend,tsmom63,D1,limit,-1,1310,-0.23893546724074932,0,0.033787467749382794,-0.3051589040295396,-0.17271203045195904
XAG_USD,trend,tsmom63,D1,limit,1,1793,-0.336377647712119,0,0.027954584768277883,-0.39116863385794365,-0.2815866615662943
XAG_USD,trend,tsmom63,D1,market,-1,1310,-0.4109516938267101,0,0.032334982544180636,-0.47432825961330416,-0.34757512804011603
XAG_USD,trend,tsmom63,D1,market,1,1793,-0.47418082317060556,0,0.02661711558027472,-0.526350369707944,-0.4220112766332671
XAG_USD,trend,tsmom63,H4,limit,-1,7221,-0.025651929608668144,1,0.017328113411475547,-0.05961503189516022,0.008311172677823931
XAG_USD,trend,tsmom63,H4,limit,1,8775,-0.07058397374687143,1,0.015540202397829009,-0.10104277044661629,-0.04012517704712658
XAG_USD,trend,tsmom63,H4,market,-1,7221,-0.2707000933989528,1,0.016826325250964533,-0.3036796908908433,-0.2377204959070623
XAG_USD,trend,tsmom63,H4,market,1,8775,-0.286837267996213,0,0.012964065463169003,-0.3122468363040243,-0.26142769968840174
XAU_USD,mr_under_limit,atr_range_exp,H4,limit,1,2146,0.2706255088887172,3,0.030282800256625223,0.2112712203857318,0.3299797973917027
XAU_USD,mr_under_limit,atr_range_exp,H4,market,1,2146,0.019059069966258963,3,0.029891550423850426,-0.03952836886448788,0.0776465087970058
XAU_USD,mr_under_limit,bb_p20_2,H4,limit,1,843,0.15936882840641575,2,0.05186971434895983,0.05770418828245448,0.261033468530377
XAU_USD,mr_under_limit,bb_p20_2,H4,market,1,843,-0.09262531145471645,2,0.04984610547737172,-0.190323678190365,0.005073055280932118
XAU_USD,mr_under_limit,cci20_lt-100,H4,limit,1,2836,0.19946213915263283,3,0.034573093474336264,0.13169887594293375,0.26722540236233194
XAU_USD,mr_under_limit,cci20_lt-100,H4,market,1,2836,-0.06668590149733146,2,0.030860391013183372,-0.12717226788317088,-0.006199535111492051
XAU_USD,mr_under_limit,ema50_dist_low,H4,limit,1,2389,0.1979640399544323,2,0.034308930182109794,0.1307185367974971,0.26520954311136746
XAU_USD,mr_under_limit,ema50_dist_low,H4,market,1,2389,-0.06881308232029232,2,0.03347200733243175,-0.13441821669185855,-0.0032079479487261003
XAU_USD,mr_under_limit,macd_hist_low,H4,limit,1,1801,0.18901119683403647,2,0.040267681905103866,0.1100865403000329,0.26793585336804004
XAU_USD,mr_under_limit,macd_hist_low,H4,market,1,1801,-0.07188650525195678,2,0.03872173373577018,-0.14778110337406633,0.004008092870152774
XAU_USD,mr_under_limit,rsi14_lt30,H4,limit,1,716,0.21068489053005027,2,0.06027682462446066,0.09254231426610737,0.32882746679399316
XAU_USD,mr_under_limit,rsi14_lt30,H4,market,1,716,-0.06159051167249942,2,0.06064999015525535,-0.1804644923767999,0.057283469031801065
XAU_USD,mr_under_limit,sma50_dist_low,H4,limit,1,2926,0.16185191104380042,2,0.0314674885112936,0.10017563356166498,0.22352818852593587
XAU_USD,mr_under_limit,sma50_dist_low,H4,market,1,2926,-0.10978047048888798,2,0.03041809627778152,-0.16939993919333976,-0.0501610017844362
