instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high,baseline_n,baseline_mean_r,excess_r,drag_pct_per_day_to_zero_excess,excess_block_len,excess_boot_se,excess_ci_low,excess_ci_high,split
XCU_USD,mr_under_limit,sma200_dist_-2.0%,H4,limit,1,1818,0.25553314172596286,2,0.03190812896598614,0.19299320895263003,0.31807307449929567,7631,0.21805171635757506,0.037481425368387805,,2,0.03199671932014122,-0.0342545350813827,0.10125717875117861,2016-2021
XCU_USD,mr_under_limit,sma200_dist_-2.0%,H4,limit,1,1956,0.24315825415574543,1,0.026684119822859755,0.1908573793029403,0.29545912900855054,8338,0.22226554936177506,0.020892704793970374,,1,0.022230624566117078,-0.021725558358928133,0.07035442114505715,2021-2026
XCU_USD,mr_under_limit,sma200_dist_-2.0%,H4,market,1,1818,0.0158596554063014,3,0.03699310575977089,-0.05664683188284955,0.08836614269545234,7631,-0.02685620942132832,0.04271586482762972,,3,0.03881724045287711,-0.03345226773879324,0.12235282360834064,2016-2021
XCU_USD,mr_under_limit,sma200_dist_-2.0%,H4,market,1,1956,0.03162244440992667,2,0.03169236832589321,-0.030494597508824016,0.09373948632867735,8338,-0.008373467833768947,0.039995912243695614,,2,0.031048864508648653,-0.0174468629877083,0.10167894092336988,2021-2026
XCU_USD,mr_under_limit,sma20_dist_-0.5%,H4,limit,1,2322,0.23029703335196505,2,0.02828179747174618,0.17486471030734255,0.2857293563965876,7631,0.21805171635757506,0.012245316994389993,,2,0.02748762173693818,-0.0406061580328903,0.06719644334986115,2016-2021
XCU_USD,mr_under_limit,sma20_dist_-0.5%,H4,limit,1,2747,0.2203520459753152,2,0.025160849508033125,0.17103678093957028,0.2696673110110601,8338,0.22226554936177506,-0.0019135033864598472,,2,0.02473590008778345,-0.04531556661386967,0.05141443882361495,2021-2026
XCU_USD,mr_under_limit,sma20_dist_-0.5%,H4,market,1,2322,-0.024509975381285642,3,0.03203859307172413,-0.08730561780186494,0.03828566703929365,7631,-0.02685620942132832,0.0023462340400426766,,3,0.027558590203964502,-0.0509451710988472,0.04990964419886598,2016-2021
XCU_USD,mr_under_limit,sma20_dist_-0.5%,H4,market,1,2747,-0.016883399119601173,2,0.026318219911516075,-0.06846711014617268,0.03470031190697033,8338,-0.008373467833768947,-0.008509931285832226,,2,0.025403263507140245,-0.05756124525383393,0.04768112235002232,2021-2026
XCU_USD,mr_under_limit,sma20_dist_-1.0%,H4,limit,1,1287,0.2213699702040552,2,0.03744909319936065,0.14796974753330833,0.29477019287480205,7631,0.21805171635757506,0.0033182538464801292,,2,0.0383963588834044,-0.06321598028579327,0.08743224964739615,2016-2021
XCU_USD,mr_under_limit,sma20_dist_-1.0%,H4,limit,1,1756,0.24384848647203294,1,0.027764892061722075,0.18942929803105768,0.2982676749130082,8338,0.22226554936177506,0.021582937110257883,,1,0.025496088650144796,-0.029643672890723526,0.06657961816807359,2021-2026
XCU_USD,mr_under_limit,sma20_dist_-1.0%,H4,market,1,1287,-0.025568458606458847,3,0.041577174087677866,-0.10705971981830746,0.055922802605389774,7631,-0.02685620942132832,0.0012877508148694712,,3,0.04261105641881514,-0.07697004842351846,0.08290284590092263,2016-2021
XCU_USD,mr_under_limit,sma20_dist_-1.0%,H4,market,1,1756,0.0002291841624588493,2,0.032174072213458145,-0.06283199737591912,0.0632903657008368,8338,-0.008373467833768947,0.008602651996227796,,2,0.03225743706858995,-0.0474016408396021,0.07272700455533901,2021-2026
XCU_USD,mr_under_limit,sma20_dist_-2.0%,H4,limit,1,320,0.18776204760117002,2,0.07278315197619194,0.04510706972783382,0.33041702547450624,7631,0.21805171635757506,-0.03028966875640504,,2,0.0692925489315644,-0.17841042859341932,0.08864929879115899,2016-2021
XCU_USD,mr_under_limit,sma20_dist_-2.0%,H4,limit,1,620,0.24458703797650364,1,0.04465241058813856,0.15706831322375206,0.3321057627292552,8338,0.22226554936177506,0.022321488614728574,,1,0.04191445234847939,-0.07458850031937299,0.0988351034894806,2021-2026
